uid,accuracy
0,53.67999995727539
1,70.15999997558593
2,55.23999998779297
3,57.99999994506836
4,59.98
5,66.32000002441406
6,68.59999998779297
7,67.61999998779297
8,68.26000006103516
9,58.29999996948242
10,0.9999999992370604
11,66.86000006103515
12,1.0
13,67.38000002441406
14,66.98000004882813
15,32.1
16,69.69999990234375
17,64.85999998779297
18,64.53999992675782
19,62.25999998168946
20,63.51999996337891
21,69.67999997558594
22,63.15999993896485
23,62.85999994506836
24,54.70000002441406
25,58.679999975585936
26,66.36000003662109
27,65.85999997558594
28,53.87999996337891
29,61.55999998168945
30,67.17999992675782
31,65.29999991455078
32,67.70000002441407
33,68.24000001220703
34,68.00000001220702
35,66.51999996337891
36,65.01999997558593
37,64.4600000366211
38,67.91999986572266
39,64.58000002441406
40,45.69999998168945
41,62.4
42,69.97999998779297
43,66.97999992675781
44,46.85999998779297
45,63.35999998779297
46,65.28000003662109
47,65.35999992675781
48,57.29999994506836
49,66.67999999389649
50,70.3799999633789
51,61.599999969482425
52,69.78000003662109
53,10.639999993896485
54,65.37999998779297
55,57.99999993286133
56,69.93999996337891
57,46.999999993896495
58,34.65999996337891
59,61.879999993896476
60,64.59999999389649
61,62.81999998779297
62,68.35999995117187
63,69.3000000366211
64,69.12000006103516
65,71.42000002441407
66,46.5399999633789
67,69.07999993896485
68,66.91999991455079
69,70.73999986572265
70,66.06000002441407
71,64.12
72,58.01999997558594
73,61.45999998779297
74,0.9999999996185304
75,44.59999993286133
76,56.999999993896495
77,70.85999996337891
78,66.81999994506836
79,67.77999998779296
80,68.3
81,71.95999995117188
82,66.62000002441407
83,51.87999998779297
84,65.83999986572266
85,66.31999999389649
86,68.71999998779297
87,44.45999995727539
88,62.73999998168945
89,66.84000000610351
90,65.84000001220703
91,64.20000006103514
92,66.44000004882814
93,65.94000006103515
94,58.43999994506836
95,39.60000000610353
96,63.77999992675781
97,61.99999995727539
98,63.46000002441407
99,69.92000004882813
100,67.49999995117186
101,59.47999999389649
102,68.37999992675782
103,68.33999992675781
104,1.0
105,1.0
106,47.49999993896484
107,60.299999951171884
108,0.9999999996185304
109,69.72000004882814
110,65.97999995117189
111,70.42000006103515
112,66.97999992675781
113,56.91999998779297
114,64.4600000061035
115,64.74
116,67.72000001220704
117,67.59999992675782
118,48.88000001831055
119,69.15999990234376
120,0.9999999996185304
121,68.51999987792969
122,64.89999995117188
123,54.40000002441406
124,66.81999997558594
125,65.13999995727539
126,51.399999975585935
