uid,accuracy
0,86.18
1,93.62
2,85.84
3,86.38
4,88.11
5,90.94
6,92.53
7,91.91
8,92.24
9,86.56
10,10.0
11,91.79
12,10.0
13,91.86
14,92.0
15,58.9
16,93.12
17,89.28
18,91.63
19,89.05
20,90.18
21,92.37
22,90.07
23,90.32
24,86.71
25,86.72
26,90.41
27,89.91
28,86.3
29,89.15
30,92.1
31,90.87
32,92.38
33,91.92
34,91.93
35,91.04
36,91.27
37,90.23
38,92.07
39,89.62
40,75.18
41,88.93
42,93.58
43,91.76
44,79.9
45,89.84
46,91.05
47,91.03
48,86.78
49,91.51
50,93.24
51,88.08
52,93.22
53,51.97
54,91.69
55,86.47
56,93.48
57,76.1
58,63.36
59,88.88
60,89.03
61,88.82
62,92.44
63,92.6
64,92.2
65,93.42
66,76.28
67,93.35
68,91.6
69,93.73
70,91.87
71,90.76
72,86.54
73,89.17
74,10.0
75,73.29
76,87.2
77,93.23
78,91.98
79,91.83
80,92.24
81,94.44
82,91.7
83,85.77
84,91.59
85,90.76
86,92.29
87,79.19
88,88.47
89,91.99
90,90.32
91,89.94
92,91.45
93,91.2
94,87.41
95,68.69
96,90.18
97,88.89
98,88.65
99,94.01
100,92.17
101,88.45
102,92.56
103,92.5
104,10.0
105,10.0
106,75.68
107,87.58
108,10.0
109,92.81
110,90.93
111,93.64
112,91.83
113,87.09
114,90.4
115,90.84
116,92.36
117,92.02
118,79.23
119,92.03
120,10.0
121,91.65
122,90.63
123,84.28
124,92.13
125,90.08
126,84.58
127,88.66
128,92.27
129,93.61
130,92.17
131,86.96
132,92.11
133,93.56
134,89.91
135,91.51
136,92.18
137,93.15
138,93.52
139,90.3
140,92.19
141,90.02
142,92.52
143,91.23
144,86.55
145,89.93
146,86.0
147,93.14
148,91.94
149,90.2
150,88.66
151,77.82
152,92.13
153,93.17
154,91.41
155,87.23
156,87.23
157,51.14
158,92.7
159,89.99
160,86.37
161,91.17
162,91.69
163,85.72
164,92.47
165,93.22
166,88.53
167,88.72
168,94.17
169,88.81
170,88.97
171,92.66
172,10.0
173,86.89
174,92.02
175,86.75
176,88.73
177,87.81
178,91.33
179,91.99
180,93.06
181,89.44
182,10.0
183,85.92
184,91.65
185,90.84
186,86.34
187,88.52
188,88.07
189,93.44
190,90.04
191,90.97
192,92.2
193,88.68
194,92.1
195,89.91
196,86.54
197,91.25
198,92.16
199,80.15
200,86.67
201,86.65
202,92.82
203,93.6
204,92.18
205,92.15
206,91.87
207,91.92
208,79.94
209,90.81
210,75.98
211,92.99
212,93.31
213,91.94
214,93.01
215,76.23
216,81.52
217,91.11
218,90.81
219,93.09
220,86.66
221,90.89
222,88.88
223,69.17
224,93.05
225,10.0
226,87.14
227,92.8
228,92.69
229,87.51
230,89.44
231,86.66
232,70.42
233,10.0
234,89.45
235,93.22
236,88.94
237,92.62
238,92.17
239,52.72
240,79.52
241,92.3
242,92.59
243,86.16
244,93.76
245,86.27
246,91.88
247,84.49
248,93.03
249,92.44
250,93.56
251,86.79
252,93.2
253,89.41
254,89.48
255,88.59
256,93.05
257,88.89
258,93.54
259,89.14
260,86.02
261,93.09
262,83.2
263,92.15
264,91.57
265,93.66
266,85.59
267,91.37
268,92.51
269,92.02
270,87.96
271,85.43
272,91.0
273,92.22
274,92.9
275,86.54
276,85.05
277,92.65
278,86.67
279,90.9
280,80.73
281,92.56
282,91.46
283,92.26
284,89.09
285,92.85
286,87.67
287,91.34
288,92.61
289,90.24
290,88.91
291,90.43
292,91.13
293,92.89
294,92.1
295,93.78
296,89.64
297,49.76
298,88.6
299,91.03
300,89.51
301,93.29
302,83.57
303,89.88
304,88.52
305,79.45
306,73.9
307,92.11
308,91.69
309,88.97
310,91.99
311,88.74
312,89.83
313,75.79
314,92.2
315,86.26
316,92.35
317,87.77
318,92.97
319,86.44
320,89.84
321,89.64
322,93.5
323,89.07
324,82.48
325,91.34
326,93.3
327,90.39
328,92.58
329,89.73
330,83.69
331,87.21
332,79.98
333,89.66
334,76.14
335,91.67
336,91.04
337,88.41
338,90.05
339,90.58
340,90.08
341,81.08
342,88.41
343,82.62
344,90.75
345,63.46
346,88.88
347,89.31
348,87.34
349,87.2
350,93.0
351,92.48
352,93.59
353,83.92
354,89.84
355,92.97
356,92.66
357,87.01
358,91.63
359,88.73
360,92.88
361,93.28
362,91.9
363,87.62
364,79.71
365,60.37
366,92.08
367,91.61
368,89.06
369,90.69
370,92.48
371,91.51
372,92.99
373,92.25
374,93.53
375,89.23
376,89.53
377,92.37
378,93.45
379,87.18
380,92.22
381,91.01
382,92.59
383,88.09
384,92.11
385,92.97
386,86.07
387,84.69
388,92.42
389,92.31
390,75.57
391,92.03
392,92.21
393,91.53
394,90.85
395,89.76
396,78.69
397,92.01
398,92.6
399,91.59
400,92.28
401,87.6
402,92.27
403,91.84
404,92.07
405,89.85
406,91.55
407,75.13
408,88.31
409,89.99
410,92.61
411,92.98
412,92.19
413,92.25
414,86.94
415,89.04
416,90.94
417,75.36
418,92.09
419,87.11
420,87.55
421,91.56
422,92.06
423,85.64
424,88.32
425,93.35
426,10.0
427,89.1
428,92.57
429,90.66
430,92.92
431,91.91
432,56.67
433,89.2
434,86.97
435,93.26
436,90.36
437,75.84
438,90.79
439,93.7
440,93.54
441,10.0
442,75.46
443,92.09
444,92.03
445,89.89
446,93.12
447,88.63
448,92.22
449,85.72
450,92.38
451,91.33
452,83.9
453,91.98
454,92.67
455,92.92
456,91.66
457,88.33
458,92.39
459,92.02
460,92.5
461,91.29
462,88.87
463,91.43
464,86.58
465,70.96
466,93.17
467,78.92
468,85.39
469,92.43
470,91.79
471,92.15
472,91.74
473,88.8
474,85.84
475,84.32
476,91.46
477,86.37
478,92.27
479,90.76
480,92.96
481,86.39
482,88.19
483,89.73
484,91.94
485,90.15
486,91.94
487,93.18
488,91.91
489,88.94
490,93.02
491,93.14
492,92.44
493,90.19
494,78.71
495,91.7
496,91.52
497,93.79
498,57.73
499,90.89
500,92.11
501,79.34
502,85.18
503,91.9
504,90.35
505,89.77
506,92.48
507,91.8
508,91.94
509,92.17
510,92.83
511,89.93
512,87.18
513,89.51
514,92.12
515,91.56
516,86.85
517,92.3
518,92.01
519,90.03
520,91.57
521,61.43
522,90.93
523,88.83
524,92.17
525,92.05
526,88.11
527,92.61
528,86.68
529,89.88
530,72.91
531,92.81
532,89.29
533,88.42
534,91.98
535,92.17
536,92.53
537,87.37
538,87.99
539,93.1
540,10.0
541,93.67
542,93.24
543,93.71
544,88.77
545,10.0
546,85.29
547,92.33
548,92.18
549,90.68
550,88.76
551,93.35
552,10.0
553,87.34
554,92.16
555,89.77
556,86.6
557,87.89
558,89.33
559,87.37
560,91.7
561,86.96
562,90.32
563,92.15
564,87.3
565,90.97
566,84.67
567,69.37
568,90.86
569,73.27
570,91.55
571,93.78
572,93.43
573,92.01
574,75.97
575,92.79
576,87.57
577,93.33
578,91.57
579,89.05
580,89.48
581,91.67
582,94.37
583,71.71
584,86.87
585,92.22
586,92.59
587,93.58
588,92.42
589,90.37
590,91.6
591,92.81
592,74.82
593,92.69
594,86.47
