uid,combined_score,time
0,0.5307122580290372,0.2027909755706787
1,0.5620417130102885,0.26694226264953613
2,0.5246961480827944,0.2224869728088379
3,0.4497235322416794,0.11458349227905273
4,0.539142368500482,0.19463038444519043
5,0.5621232203307015,0.2581815719604492
6,0.5476667733961884,0.26065731048583984
7,0.5200473475400557,0.21429300308227542
8,0.5458497535680034,0.19991159439086914
9,0.4493570284716075,0.15867018699645996
10,0.45525979096317426,0.2909364700317383
11,0.5643695858092932,0.2816336154937744
12,0.0,0.17310357093811035
13,0.5490988812807059,0.26881933212280273
14,0.5671682863688376,0.27947044372558594
15,0.43036973643978954,0.13664937019348145
16,0.5472314260664131,0.22775554656982422
17,0.5582565052505248,0.25868988037109375
18,0.5558751090960145,0.3192915916442871
19,0.5550202946286814,0.32991862297058105
20,0.5137371423300735,0.22716236114501956
21,0.5693877292177948,0.29882097244262695
22,0.5365363891092876,0.24509525299072266
23,0.5554187033488952,0.3281848430633545
24,0.5050159261322639,0.19178247451782227
25,0.4497235322416794,0.1158151626586914
26,0.5800280658278036,0.31737232208251953
27,0.563194670697483,0.2935218811035156
28,0.5096312781190546,0.17650175094604492
29,0.5114963973917066,0.1950373649597168
30,0.5270150972764248,0.17901134490966797
31,0.5411666715828667,0.22634005546569824
32,0.5484199575994185,0.22646570205688477
33,0.5680480762591215,0.23378396034240723
34,0.5498282532194211,0.19866013526916504
35,0.5486384517312246,0.19837331771850586
36,0.555586595047223,0.26181626319885254
37,0.519692792018016,0.2854049205780029
38,0.5683124483856283,0.35419797897338867
39,0.5484161933358528,0.2882652282714844
40,0.4357847168483317,0.20613861083984375
41,0.5671061952261175,0.24813032150268555
42,0.5504559833782549,0.24745535850524902
43,0.5469154544703294,0.2196667194366455
44,0.500844966982346,0.15286540985107422
45,0.5212969822082034,0.14860153198242188
46,0.5381060055096766,0.2120227813720703
47,0.5166481718534804,0.20590472221374512
48,0.5078724661830216,0.14940404891967773
49,0.5401187561825245,0.20378994941711426
50,0.5912617965009318,0.3318915367126465
51,0.5150050949211636,0.19001531600952148
52,0.5629082097078197,0.23770928382873535
53,0.43004142651849214,0.1064755916595459
54,0.5589308085590196,0.2551238536834717
55,0.4497235322416794,0.10554909706115723
56,0.564166239327817,0.23775601387023926
57,0.504845536016413,0.15521931648254395
58,0.43245182301358276,0.10826945304870605
59,0.5584519596458569,0.23476552963256836
60,0.5689771297232891,0.22968292236328125
61,0.5444939956062994,0.19743633270263672
62,0.5667777562087992,0.23716068267822268
63,0.5772461136507272,0.2978980541229248
64,0.5870332113938489,0.3395226001739502
65,0.5901312897601336,0.3230886459350586
66,0.436019127538594,0.10766005516052246
67,0.591207969233418,0.3103604316711426
68,0.5497928053540571,0.20882797241210938
69,0.5510103591354577,0.21045970916748047
70,0.5262387076564375,0.18546080589294434
71,0.5412931923021657,0.19203472137451172
72,0.4494860531777795,0.15234827995300293
73,0.5446168873178381,0.21364784240722656
74,0.40210609172177464,0.20767951011657715
75,0.4943304659003638,0.1796233654022217
76,0.5057786171570805,0.14910888671875
77,0.5688809156667358,0.26529383659362793
78,0.5789751968898378,0.3084840774536133
79,0.5201048967997849,0.19159984588623047
80,0.5693877292177948,0.24030327796936035
81,0.5900934464491195,0.36942076683044434
82,0.5800985780418417,0.29779505729675293
83,0.5022118369738989,0.14484024047851562
84,0.5424137558356766,0.19502615928649902
85,0.563553989450434,0.23296117782592773
86,0.565214517131289,0.23072481155395508
87,0.49838330787603125,0.15570950508117676
88,0.5533900635327512,0.25258779525756836
89,0.5450158991046136,0.19339323043823242
90,0.5738717962468307,0.28499674797058105
91,0.5657468190794185,0.25575900077819824
92,0.5620853875498248,0.24550223350524902
93,0.5402564634729047,0.22168850898742676
94,0.5327673695984761,0.2104341983795166
95,0.43213154000107307,0.11357736587524414
96,0.5554943357281881,0.24691486358642578
97,0.5271837184673851,0.14635229110717773
98,0.5429363022030748,0.19176125526428223
99,0.5671609679777606,0.24698090553283691
100,0.5653621458215261,0.2572822570800781
101,0.5388573080858321,0.1930387020111084
102,0.5819573228331621,0.31505346298217773
103,0.5690445486333784,0.2564241886138916
104,0.0,0.20126056671142578
105,0.0,0.12200808525085449
106,0.4353775230445771,0.21925902366638184
107,0.5343216693661234,0.205718994140625
108,0.0,0.15294742584228516
109,0.5806491401850646,0.333554744720459
110,0.5159785635567903,0.1594715118408203
111,0.578309791884269,0.3069131374359131
112,0.5512754748781381,0.21083879470825195
113,0.5057786171570805,0.14748740196228027
114,0.538407182150211,0.19645237922668457
115,0.5122312431024244,0.1842808723449707
116,0.5699163974125114,0.23395633697509766
117,0.5721866239450923,0.2967958450317383
118,0.43065787139686046,0.11106872558593751
119,0.5696439198619379,0.32173657417297363
120,0.4288401239129517,0.21548080444335938
121,0.548442830155763,0.2873218059539795
122,0.5603837232481232,0.2304985523223877
123,0.5404232884215505,0.19891095161437988
124,0.545853963481676,0.20592975616455078
125,0.5493610272808259,0.19109296798706055
126,0.5282984253454523,0.2081758975982666
